Douglas Adams	Q42
Heinrich Heine	Q44403
Daniel Defoe	Q40946
Shintarō Ishihara	Q38849
Mario Vargas Llosa	Q39803
Jonathan Swift	Q41166
Jorge Ibargüengoitia	Q41130
Werner Herzog	Q44131
Thomas Bernhard	Q44336
Arthur Schnitzler	Q44331
Hermann Hesse	Q25973
Theodor Storm	Q26993
Paolo Bacigalupi	Q26116
John Barrowman	Q24632
Octave Mirbeau	Q23441
Jack Ritchie	Q24261
Ernest Hemingway	Q23434
Henryk Sienkiewicz	Q41502
Boris Pasternak	Q41223
Anna Löwenstein	Q55964
John Lloyd Stephens	Q56635
Paŭliuk Bahrym	Q56686
Erich Fromm	Q57085
Ludwig Beck	Q57170
Stefan George	Q57187
Carlo Minnaja	Q55990
František Lorenz	Q55963
Peter Ustinov	Q55796
David Auburn	Q57061
Małgorzata Musierowicz	Q55821
Christian Friedrich Hebbel	Q57182
Tim Burton	Q56008
Oprah Winfrey	Q55800
Kenji Miyazawa	Q55993
Vijaya Rajadhyaksha	Q55783
Anatole France	Q42443
H. G. Wells	Q42511
Jean Giraudoux	Q309974
Don DeLillo	Q310048
Horace Walpole	Q309903
Christopher Isherwood	Q310111
Martin Amis	Q310176
Jean-Marie Gustave Le Clézio	Q42037
Michail Sholokhov	Q42398
Joaquim Maria Machado de Assis	Q311145
John Irving	Q310379
Michael Cunningham	Q310257
Danilo Kiš	Q310562
Erskine Caldwell	Q310464
Alain Badiou	Q311005
Ivan Vazov	Q310630
Mircea Eliade	Q41590
Chris Patten	Q23368
Richard Dawkins	Q44461
Rainer Werner Fassbinder	Q44426
Ricky Gervais	Q23517
Larry David	Q23728
John Belushi	Q23858
Otto Jespersen	Q23870
Don Rosa	Q24184
Karl Pilkington	Q23811
Ana Cristina Cesar	Q23945
Pamela Des Barres	Q24155
Petrus Cunaeus	Q24085
Kit Fine	Q23450
Hermann Häfker	Q23729
Quentin Smith	Q23446
Clemens Brentano	Q57235
August von Kotzebue	Q57242
Traudl Junge	Q57214
Ludwig Tieck	Q57239
Thomas More	Q42544
Ivan Turgenev	Q42831
Francisco Ayala	Q311167
Harlan Ellison	Q311253
Ali Khamenei	Q57336
Christa Wolf	Q57382
Joachim Fest	Q57372
William Stern	Q57347
Ernst Toller	Q57266
August Wilhelm Schlegel	Q57281
Ernst Moritz Arndt	Q57351
Annette von Droste-Hülshoff	Q57307
Paul Hindemith	Q57244
Michael Ignatieff	Q311684
James Patterson	Q311671
Gillian Flynn	Q311755
Dennis Lehane	Q311744
Kurt Tucholsky	Q57386
Wernher von Braun	Q57384
Rómulo Gallegos	Q311401
Saki	Q311526
Seth Grahame-Smith	Q311591
Antoine François Prévost	Q311480
Karel Čapek	Q155855
Georges Perec	Q157303
Romain Gary	Q157322
Friedrich Schlegel	Q157271
Georges Rodenbach	Q378240
John Brunner	Q378807
Giovannino Guareschi	Q378639
Fujiwara no Sadaie	Q378425
James Kahn	Q374540
Gordon Dahlquist	Q376071
Yahya Haqqi	Q376678
Ada Cambridge	Q374462
Cyril M. Kornbluth	Q376859
Chris Elliott	Q377424
Bankim Chandra Chattopadhyay	Q377881
Chuck Austen	Q377992
William F. Buckley, Jr.	Q378098
Doppo Kunikida	Q374817
Denji Kuroshima	Q376499
Salman Rushdie	Q44306
William Golding	Q44183
Yasunari Kawabata	Q43736
Julianna Baggott	Q44219
Gustave Tolstói	Q43444
Chinua Achebe	Q155845
Thornton Wilder	Q155087
Thomas E. Gaddis	Q24278
Mykola Khvylovy	Q24334
Paula Broadwell	Q24225
Ron Chernow	Q24302
Sophus Claussen	Q24494
Pyotr Yakubovich	Q24348
Frederik Pohl	Q312641
Leopoldo Alas	Q312747
Robert Penn Warren	Q312720
Iain Banks	Q312579
Jack Vance	Q312632
Curzio Malaparte	Q312637
Johannes V. Jensen	Q159552
David Grossman	Q160263
Stephenie Meyer	Q160219
Hugo Gernsback	Q312242
Pierre Loti	Q311854
Vernor Vinge	Q312405
John Dos Passos	Q312407
Selma Lagerlöf	Q44519
John Henry Newman	Q44490
Carlos Castañeda	Q158878
W.E.B. Du Bois	Q158060
Cees Nooteboom	Q158394
Miguel Delibes	Q157326
Russell Kirk	Q158997
Yasmina Khadra	Q313182
David Lodge	Q313001
Jeff Lindsay	Q313038
John Banville	Q313077
Nick Hornby	Q313007
Bruce Sterling	Q312995
Fritz Leiber Junior	Q313185
Prosper Mérimée	Q160333
Jack Kerouac	Q160534
James Hilton	Q43227
Pierre Jean Jouve	Q379943
Tristan Bernard	Q379949
Carlos Drummond de Andrade	Q379745
Henry de Montherlant	Q379956
Louis L'Amour	Q379895
Jean-François Marmontel	Q379923
Mitch Albom	Q378878
Reşat Nuri Güntekin	Q379595
Vikram Seth	Q379762
Murathan Mungan	Q379855
Ryū Murakami	Q380265
Howard Fast	Q380202
François Coppée	Q380277
Antony Beevor	Q380229
Yury Olesha	Q380000
Michael Connelly	Q313193
David Foster Wallace	Q313246
Lou Andreas-Salomé	Q38873
Moyoco Anno	Q38842
Jack London	Q45765
Samuel Butler	Q258766
Carl Van Vechten	Q312851
Neal Stephenson	Q312853
Heiner Müller	Q57426
Victor Klemperer	Q57442
Anna Seghers	Q57393
Martin Walser	Q57387
Alfred Döblin	Q57389
Abdullah II of Jordan	Q57464
Daniel Kehlmann	Q57477
V. S. Naipaul	Q44593
Anne Brontë	Q44520
David Klass	Q381656
Paul Adam	Q381800
Ignacy Krasicki	Q380545
John Berger	Q382604
Siobhan Dowd	Q380983
Gunnar Gunnarsson	Q381086
James Lincoln Collier	Q381732
Sholem Asch	Q380439
Kader Abdolah	Q381254
Conrad Potter Aiken	Q380645
Tarjei Vesaas	Q381443
James Siegel	Q380784
Simon Kernick	Q382450
Mia Couto	Q382101
Bernard-Henri Lévy	Q313509
Michael Ondaatje	Q313593
Richard Adams	Q313289
Thomas Harris	Q313377
Michael Chabon	Q313466
Khachatur Abovian	Q313461
Peter Carey	Q313254
Jeffrey Archer	Q313489
Azmi Bishara	Q313589
Lima Barreto	Q383442
Matilde Serao	Q384594
Dan Rhodes	Q382692
A. E. W. Mason	Q382786
Alan Garner	Q384481
Johann Ludwig Burckhardt	Q39691
Daniel Solander	Q39789
Carl Peter Thunberg	Q39658
Alberto Moravia	Q161933
André Breton	Q161955
Michel Tournier	Q160783
Vuk Drašković	Q162740
Jaan Kross	Q161842
Frank Chin	Q162511
Julie Andrews	Q161819
Sébastien Japrisot	Q162917
Marguerite Yourcenar	Q163118
Felix Salten	Q163747
Robert Jordan	Q166351
Simon Newcomb	Q164401
Manuel Scorza	Q164967
Hilary McKay	Q165801
E. Phillips Oppenheim	Q163069
Hieda no Are	Q164522
Terry Pratchett	Q46248
Stephen King	Q39829
William Makepeace Thackeray	Q167768
Gore Vidal	Q167821
Michael Jan Friedman	Q167289
Philip Larkin	Q313758
Robert Shaw	Q313727
Robert Harris	Q313981
John Wyndham	Q313673
Lafcadio Hearn	Q313638
Vasily Grossman	Q313767
Arnold Bennett	Q314158
Mustafa Balel	Q314179
John Kennedy Toole	Q313739
Richard Feynman	Q39246
Mikhail Lermontov	Q46599
Thomas Wolfe	Q314256
Stephen Baxter	Q314416
Robert Anton Wilson	Q314215
Averroes	Q39837
Park Kyung-ni	Q39963
Kōji Suzuki	Q384863
Takiji Kobayashi	Q405234
Armistead Maupin	Q423597
Reginald Bretnor	Q386035
Aki Shimazaki	Q417916
Gustav Renker	Q386113
Sarat Chandra Chattopadhyay	Q404622
Akira Yoshimura	Q419060
Raymond Williams	Q394628
Clara Sereni	Q384990
Junot Díaz	Q402664
Shōhei Ōoka	Q385747
Marie Adelaide Belloc Lowndes	Q389375
Aimee Bender	Q405532
Thomas Sigismund Stribling	Q386244
Akiyuki Nosaka	Q419501
Ana Castillo	Q168269
Ignazio Silone	Q168431
H. P. Lovecraft	Q169566
James Fenimore Cooper	Q167856
Irène Némirovsky	Q168441
William Butler Yeats	Q40213
Ray Bradbury	Q40640
Henry Gray	Q40319
Lillian Moller Gilbreth	Q40197
Robert Silverberg	Q314553
Louis Begley	Q314843
Tariq Ali	Q314787
Kenneth Grahame	Q314897
Maurice Barrès	Q314957
Dick Francis	Q314929
Henry James	Q170509
Maurice Leblanc	Q314993
Jules Amédée Barbey d'Aurevilly	Q314963
Jules Renard	Q314987
Jonathan Littell	Q314969
Frédéric Beigbeder	Q314972
Arthur C. Clarke	Q47087
Philip K. Dick	Q171091
Apuleius	Q170512
Mary Shelley	Q47152
Robert de Bonnières	Q428451
Tom McCarthy	Q430523
August Pauly	Q70497
Moritz August von Thümmel	Q70443
Heather Graham Pozzessere	Q427886
Sarah Josepha Hale	Q430639
Craig Thompson	Q429590
Jacques Cazotte	Q425373
Eilhart von Oberge	Q70774
Marc Connelly	Q430076
André Schwarz-Bart	Q427503
Heinz Guderian	Q70560
Johannes Reinke	Q70800
C. S. Forester	Q430182
Jean-Philippe Toussaint	Q430204
Anthony Bourdain	Q426582
Heraclitus	Q41155
Kim Il-sung	Q41117
Jane Fonda	Q41142
A. E. van Vogt	Q315059
Reinaldo Arenas Fuentes	Q315024
Sadegh Hedayat	Q315017
David Brin	Q315069
Elfriede Jelinek	Q47243
Romain Rolland	Q47162
Erich Maria Remarque	Q47293
Eugène Sue	Q315220
Ben Okri	Q315362
Branislav Nušić	Q315136
Erich Segal	Q315343
Vasily Aksyonov	Q315185
Georges Bernanos	Q315072
Michael Crichton	Q172140
David	Q41370
Edward de Bono	Q41322
Bobby Fischer	Q41314
Filip David	Q41464
Konstantin Eduardovich Tsiolkovskii	Q41239
Ivo Andrić	Q47561
André Gide	Q47484
Kahlil Gibran	Q47737
Nadine Gordimer	Q47619
John Barth	Q315683
Philip Sidney	Q315509
Michael Moorcock	Q316138
Irwin Shaw	Q315380
Robert Merle	Q315949
Hector Malot	Q315003
William Blake	Q41513
Aleister Crowley	Q172684
James Hanley	Q174181
Margaret Mitchell	Q173540
Annie Dillard	Q176558
Munshi Premchand	Q174152
Lauren Weisberger	Q176049
Daína Chaviano	Q176405
John William De Forest	Q175205
Marc Levy	Q176246
Helen Dale	Q174204
Plutarch	Q41523
Jun'ichirō Tanizaki	Q316213
Lyon Sprague de Camp	Q316313
Shusaku Endo	Q316217
Piero Chiara	Q176736
Edna O'Brien	Q178225
Irvine Welsh	Q178403
A. J. Cronin	Q179059
Itō Sachio	Q176579
Jean Giono	Q177411
Walker Percy	Q176909
José Maria de Eça de Queiroz	Q316327
Alfred de Musset	Q179680
Sion Sono	Q179463
Johannes Schlaf	Q70842
Jacob Bidermann	Q71316
Lily Braun	Q71372
John Brugman	Q71437
Li Ao	Q70986
Annette Kolb	Q71112
Joseph Kürschner	Q71318
Siba Shakib	Q71378
Irmgard Keun	Q71461
Karl Hillebrand	Q71106
Hugo Ball	Q70989
Adolf Bartels	Q71366
Fanny zu Reventlow	Q71429
Johann Jakob Engel	Q71442
Max Kalbeck	Q71192
Ferdinand Hoefer	Q71250
Clara Viebig	Q71465
Eric Marcus	Q347491
Glenway Wescott	Q347890
Ludwig Achim von Arnim	Q70988
Sebald Heyden	Q71067
Charles the Bald	Q71231
Lucas Bridges	Q348718
Bruce Chatwin	Q348916
Georg Ludwig Hartig	Q70835
Cora Stephan	Q71219
Walter Ernsting	Q71309
Ingeborg Drewitz	Q71381
Ludwig Christoph Heinrich Hölty	Q71456
Ibn Khallikan	Q71394
Christian Wilhelm Kindleben	Q70937
Hildegard of Bingen	Q70991
Knister	Q71473
Richard Voß	Q71427
R. A. Salvatore	Q316431
Jonathan Franzen	Q316607
Carl Jonas Love Almqvist	Q316381
Henri Bergson	Q42156
Xuanzang	Q42063
Tomas Tranströmer	Q42122
Axel Munthe	Q41580
Thucydides	Q41683
Michel de Montaigne	Q41568
Stein Erik Lunde	Q41772
Liu Xiaobo	Q41617
Constantine VII	Q41608
Justinian I	Q41866
Sully Prudhomme	Q42247
Ismail Kadare	Q179695
Ursula K. Le Guin	Q181659
Finn Carling	Q180662
Larry Niven	Q316610
Fiona Pitt-Kethley	Q180680
Jean Genet	Q184622
Hal Borland	Q183294
Jennifer Fallon	Q182934
Jin Yong	Q180626
Jacqueline Carey	Q180373
Paddy Chayefsky	Q180251
Raymond Chandler	Q180377
Norman Mailer	Q180962
Natsume Sōseki	Q180903
Matthew Pearl	Q180223
Fazil Iskander	Q181573
Laird Koenig	Q181034
Chuck Pfarrer	Q181082
Frédéric Mistral	Q42596
Andrea Barrett	Q49065
Clarissa Minnie Thompson Allen	Q49061
Hugh Laurie	Q49017
Kurt Vonnegut	Q49074
Imre Kertész	Q47755
Whoopi Goldberg	Q49001
Herman Wouk	Q49072
Ayaan Hirsi Ali	Q214475
Sterling Seagrave	Q351145
William Manchester	Q354125
Adam Tribbechow	Q351077
Ahmed Rashid	Q351280
Roy Porter	Q354728
Emil Rittershaus	Q214537
Charles Follen	Q214324
Julius Rudolph Ottomar Freiherr von Minutoli	Q214298
Theodor Gottlieb von Hippel the Elder	Q214310
Adela Florence Nicolson	Q353765
Charles Leadbeater	Q354448
Adam Mansbach	Q350364
Roman Brandstaetter	Q350978
Rafael Arozarena	Q351455
Jens Kragh Høst	Q351964
Arnold Krumm-Heller	Q214318
Burkard Freiherr von Müllenheim-Rechberg	Q214328
Michael Georg Conrad	Q214306
Adam Lewenhaupt	Q350301
Henry Parland	Q354365
Alan Watts	Q354867
Eric Bogosian	Q352708
David H. Ahl	Q353871
August Gottlieb Meißner	Q214593
Gustav von Moser	Q214573
Karl Heinrich Heydenreich	Q214744
Friedrich Pecht	Q214584
Franz August O'Etzel	Q214628
Albert Traeger	Q214834
Carl Laufs	Q214741
Paul Auster	Q214642
Gertrude Stein	Q188385
Philip Roth	Q187019
Antonin Artaud	Q187166
Nâzım Hikmet Ran	Q184906
Candas Jane Dorsey	Q187424
Marina Tsvetaeva	Q188526
Donald Rumsfeld	Q184650
Roger Mais	Q185333
Kōbō Abe	Q186273
Malena Ernman	Q187210
Washington Irving	Q181667
George R. R. Martin	Q181677
François-René de Chateaubriand	Q49767
Pierre de Marivaux	Q49478
Gen Urobuchi	Q50038
Hugo von Hofmannsthal	Q51513
Georges Courteline	Q51107
Éric Rohmer	Q50764
Scott Westerfeld	Q181716
Johnny Cash	Q42775
Gregory I	Q42827
Roman Rosdolsky	Q214953
Ulrich Becher	Q215764
Karl Witte	Q215735
Julius Wolff	Q215658
Friedrich Kapp	Q215406
Walter Mischel	Q215978
Otto Heinrich von Gemmingen-Hornberg	Q215771
Hinrich Nitsche	Q214907
Basilius von Ramdohr	Q215600
Julius Stinde	Q215090
Julius Brinken	Q215243
Christian Gottfried Körner	Q216013
Swami Vivekananda	Q47478
Milton Friedman	Q47426
Charles, Prince of Wales	Q43274
Eratosthenes	Q43182
Paul Zech	Q43166
Rainer Maria Rilke	Q76483
Johann Beer	Q76444
Gary Russell	Q182047
Newt Gingrich	Q182788
John Flanagan	Q181730
Tony Hillerman	Q181920
Mario Puzo	Q182870
Richard Dreyfuss	Q181799
Harper Lee	Q182658
Rumi	Q43347
Aesop	Q43423
Karl Jónsson	Q47640
Alfonso X of Castile	Q47595
Hu Shih	Q47667
Lea Rosh	Q88956
Jan Philipp Reemtsma	Q89175
Friedrich von Waldersee	Q89036
Cao Xueqin	Q182874
Adolf Pichler	Q88910
Raoul Heinrich Francé	Q88918
Leonhard Ennen	Q89212
Gerdt von Bassewitz	Q88822
Albrecht Milnik	Q89083
Michael Ende	Q76498
Erich Kästner	Q76546
Beppe Grillo	Q47683
Rudolf Christoph Eucken	Q47695
Ian McEwan	Q190379
Nick Cave	Q192668
Zhi Gang Sha	Q197766
Dylan Thomas	Q191023
Zheng Xuan	Q197649
Charles Barkley	Q192707
Said Nursî	Q198770
Elena Venttsel	Q201472
James Alan Gardner	Q203068
Arnold Wesker	Q202385
Rob Schneider	Q192217
Paul Schlenther	Q194574
Maureen Fiedler	Q198175
Zhao Shuli	Q197456
Giosuè Carducci	Q43440
Roland Schimmelpfennig	Q77603
Julius Hermann Moritz Busch	Q78080
Ernst Bertram	Q78437
Hermann Löns	Q77486
Tankred Dorst	Q77468
Reinhold Schneider	Q77876
Ulla Hahn	Q78077
Julius Sturm	Q78269
Janosch	Q77206
Sarah Kuttner	Q77471
Isolde Kurz	Q77856
Christine Brückner	Q77990
Christian Gerthsen	Q78100
Klaus Mann	Q77087
Max von der Grün	Q77733
Leopold Ahlsen	Q78391
Georg Trakl	Q78476
Heinar Kipphardt	Q77900
Ambrose	Q43689
Erasmus	Q43499
Ferdowsi	Q43459
John Chrysostom	Q43706
Willie Nelson	Q206112
Ziauddin Barani	Q207000
Neil Gaiman	Q210059
Mahmood Darwish	Q207720
J. D. Salinger	Q79904
Robert Musil	Q78487
Robert Hamerling	Q79088
Eduard Duller	Q92301
Hans Ulrich Gumbrecht	Q92341
Hermann Maurer	Q92846
Edmund Hoefer	Q92519
Bodo Kirchhoff	Q92109
Eugene O'Neill	Q93157
Julius Bacher	Q89992
Klaus Theweleit	Q92455
Albert Friedrich Benno Dulk	Q89664
Friedrich Güll	Q92008
Hans Schomburgk	Q91999
Ehm Welk	Q92085
Rudolf Genée	Q92053
Janusz Leon Wiśniewski	Q93143
Martin Auer	Q89330
Otto Roquette	Q92500
Carl Hermann Busse	Q92143
Alexander Dewdney	Q93036
Cheryl Benard	Q89891
Christoph Meinel	Q92706
Shi-Kuo Chang	Q93135
Josef Emanuel Hilscher	Q89833
Maxie Wander	Q89932
Ernst Elias Niebergall	Q92065
Wolf-Dieter Storl	Q92173
Friedrich Georg Wieck	Q92460
Johanna Ambrosius	Q92387
Milan Kundera	Q93166
Seamus Heaney	Q93356
Kenneth O. Morgan	Q93657
Anna Akhmatova	Q80440
Elias Canetti	Q80064
Joris-Karl Huysmans	Q210798
Georg Christoph Lichtenberg	Q57554
Erich Auerbach	Q57603
Sebastian Haffner	Q57535
Magnus Hirschfeld	Q57592
Arthur Miller	Q80596
Houston Stewart Chamberlain	Q57737
Frank Wedekind	Q57619
Saul Bellow	Q83059
Jean Cocteau	Q83158
David Bezmozgis	Q84011
